THIGH_ANG SHIN_ANG THIGH_ACCEL VERT_ACCEL
-9.97 -16.73 1.19 1.02
-10.17 -19.1 1.2 1.0
-10.63 -22.43 1.19 0.99
-10.81 -26.03 1.19 0.97
-12.93 -28.81 1.2 1.05
-12.06 -32.78 1.16 1.0
-12.86 -35.45 1.14 1.02
-13.03 -39.46 1.15 1.01
-14.06 -42.56 1.09 0.98
-14.39 -46.68 1.14 0.99
-13.35 -49.48 1.11 0.95
-13.26 -52.4 1.07 1.02
-13.69 -56.34 1.11 0.97
-12.54 -58.92 1.08 0.98
-12.06 -60.47 1.04 1.01
-11.88 -63.41 1.1 1.06
-10.26 -65.52 1.05 0.96
-9.81 -67.55 1.05 1.03
-9.36 -68.76 1.04 0.99
-7.75 -70.38 1.0 0.99
-6.14 -70.32 1.02 0.98
-5.8 -69.21 1.05 1.05
-3.82 -70.33 1.0 1.06
-2.07 -69.67 1.0 1.05
-1.02 -67.91 1.01 0.97
1.28 -65.25 1.01 0.96
2.93 -62.47 1.01 0.97
3.48 -61.56 1.0 1.01
5.95 -58.08 0.95 1.04
7.12 -55.62 1.0 1.01
8.71 -51.51 1.01 1.02
10.63 -46.54 1.02 0.96
12.61 -43.51 0.99 0.99
13.37 -38.06 1.04 1.02
15.34 -34.08 1.02 0.98
16.49 -29.82 1.04 0.98
17.58 -25.47 1.04 1.0
18.59 -20.42 1.01 1.02
20.66 -15.37 1.04 1.04
20.71 -11.34 1.07 1.04
22.18 -7.42 1.07 1.04
22.62 -2.97 1.09 1.01
23.86 1.95 1.06 1.01
23.19 4.92 1.07 0.97
23.8 8.47 1.09 1.04
23.81 10.9 1.11 0.99
23.44 13.78 1.13 1.03
24.57 16.46 1.14 0.97
23.4 18.16 1.16 0.93
23.53 19.49 1.17 1.01
23.34 20.36 1.16 1.01
23.05 22.14 1.16 0.96
21.84 22.81 1.22 0.96
21.62 22.25 1.15 1.06
20.89 21.38 1.21 2.03
19.9 21.79 1.21 2.0
18.52 20.04 1.23 1.99
18.34 18.51 1.25 1.94
16.55 17.37 1.26 2.01
16.79 15.82 1.26 1.98
16.22 13.66 1.3 2.0
15.58 11.96 1.28 1.04
14.13 9.73 1.32 1.02
13.09 7.64 1.33 1.02
12.79 5.21 1.29 1.01
11.42 3.74 1.3 0.99
11.01 1.61 1.33 0.96
11.1 0.19 1.37 0.99
9.89 -2.29 1.34 1.01
9.11 -3.93 1.34 0.97
8.37 -5.2 1.34 1.05
7.85 -6.98 1.39 0.96
7.8 -7.46 1.39 1.02
7.27 -9.36 1.42 1.02
7.19 -9.95 1.42 0.99
6.32 -9.92 1.39 1.02
6.65 -11.06 1.4 1.05
4.73 -10.6 1.41 1.01
5.52 -10.08 1.39 1.03
4.6 -10.04 1.42 1.0
4.92 -9.57 1.44 0.98
4.17 -9.5 1.39 1.04
4.36 -8.41 1.37 1.04
3.76 -7.97 1.41 1.01
3.1 -7.01 1.39 1.02
2.47 -6.66 1.39 1.02
2.78 -6.58 1.39 1.04
1.1 -6.05 1.38 1.01
1.07 -4.6 1.34 1.01
0.27 -4.38 1.36 1.05
0.15 -3.71 1.35 0.99
-0.22 -3.43 1.33 1.02
-0.51 -2.76 1.31 0.97
-2.09 -3.3 1.34 1.03
-1.88 -3.93 1.29 0.96
-3.41 -4.98 1.28 1.0
-3.81 -5.18 1.28 0.97
-4.84 -7.19 1.3 0.99
-5.44 -7.99 1.26 1.05
-6.25 -9.56 1.27 0.98
-7.6 -11.9 1.29 1.08
-7.92 -15.27 1.23 0.99
-8.72 -15.51 1.2 1.02
-9.37 -18.55 1.21 1.03
-9.5 -21.86 1.18 1.0
-10.51 -24.54 1.22 1.06
-11.43 -28.26 1.18 0.96
-11.96 -31.26 1.15 0.94
-12.53 -34.26 1.19 0.98
-12.55 -37.87 1.12 1.0
-13.09 -40.38 1.17 0.94
-12.41 -43.78 1.13 1.04
-12.85 -47.32 1.13 1.06
-12.57 -49.89 1.08 0.99
-11.82 -52.43 1.07 1.03
-11.91 -53.84 1.07 0.99
-11.15 -56.81 1.07 1.02
-9.7 -58.45 1.06 0.97
-8.77 -59.88 1.07 1.03
-8.34 -61.25 1.06 1.03
-7.26 -62.1 1.01 0.95
-5.75 -62.7 1.03 1.03
-4.75 -62.51 1.04 1.04
-3.83 -61.55 1.05 0.99
-2.23 -60.58 0.99 1.01
-1.47 -59.76 0.98 1.01
0.0 -58.96 0.97 0.98
1.94 -56.19 0.98 1.04
3.06 -53.99 0.99 1.0
5.22 -52.01 0.99 1.02
6.24 -48.4 1.02 1.02
7.37 -46.55 1.0 1.0
9.07 -42.14 1.04 0.99
10.88 -38.11 0.99 0.91
12.44 -34.37 1.01 1.06
13.42 -30.86 0.99 0.95
14.41 -27.2 1.06 0.98
15.67 -22.45 1.02 1.01
16.56 -18.26 1.07 0.99
17.46 -13.85 1.0 1.03
19.08 -10.22 1.02 1.0
18.93 -6.29 1.01 0.99
20.22 -2.9 1.07 1.02
20.29 0.35 1.11 1.03
20.88 3.62 1.12 0.98
20.16 6.89 1.09 0.99
21.9 9.52 1.08 1.0
21.22 11.43 1.08 0.97
21.72 13.71 1.12 0.99
21.33 16.15 1.12 0.98
21.0 17.36 1.17 1.01
21.35 17.91 1.13 1.02
20.08 19.72 1.17 1.03
19.68 19.36 1.18 0.99
19.32 19.53 1.21 0.97
19.55 19.09 1.2 1.87
17.93 18.96 1.21 1.85
17.55 18.83 1.24 1.82
16.24 16.84 1.24 1.86
16.81 16.61 1.26 1.84
14.87 14.56 1.26 1.87
14.96 12.65 1.27 1.81
13.5 11.39 1.27 0.96
12.07 9.16 1.31 0.97
11.99 7.41 1.36 1.01
11.78 5.99 1.31 0.98
10.91 4.19 1.33 1.01
9.81 1.69 1.37 1.04
9.9 0.14 1.34 1.01
9.36 -1.56 1.39 1.02
8.76 -3.82 1.31 0.99
8.0 -4.8 1.35 0.98
8.05 -6.69 1.44 1.03
6.5 -7.09 1.39 1.04
7.12 -8.42 1.39 1.04
5.23 -8.35 1.36 0.97
5.64 -8.33 1.39 0.97
5.4 -9.23 1.43 1.01
4.97 -9.52 1.39 1.08
4.65 -9.78 1.4 1.0
4.92 -9.89 1.42 0.99
3.82 -8.97 1.4 1.01
4.63 -9.04 1.39 1.03
4.48 -8.55 1.43 0.96
3.81 -7.6 1.33 1.03
2.7 -6.67 1.37 0.99
1.92 -5.93 1.39 1.0
2.92 -5.72 1.44 0.9
1.66 -4.64 1.39 1.02
1.68 -4.49 1.39 1.01
0.84 -4.28 1.37 0.98
0.3 -3.44 1.36 1.03
-0.14 -3.26 1.36 0.96
-0.97 -2.56 1.34 1.01
-1.17 -2.94 1.31 0.98
-1.52 -3.46 1.34 1.02
-2.73 -4.1 1.33 1.02
-2.99 -3.54 1.3 1.05
-4.55 -4.96 1.28 0.95
-4.19 -6.16 1.27 1.02
-5.49 -7.34 1.26 1.0
-6.7 -9.42 1.27 0.99
-7.21 -12.04 1.25 0.94
-7.37 -13.61 1.21 1.01
-9.15 -16.31 1.22 0.99
-8.39 -17.74 1.25 1.02
-9.06 -20.99 1.24 1.0
-9.76 -24.07 1.2 1.0
-10.79 -26.22 1.14 1.02
-11.4 -28.86 1.15 1.01
-11.5 -32.6 1.13 1.01
-11.79 -34.9 1.15 0.99
-11.08 -38.2 1.13 0.94
-11.55 -41.33 1.07 1.03
-11.04 -43.24 1.14 1.0
-10.91 -45.96 1.09 0.98
-11.23 -49.06 1.07 1.0
-10.08 -50.95 1.05 1.03
-10.0 -52.69 1.07 1.01
-9.26 -54.62 1.04 1.03
-7.7 -55.9 1.01 1.01
-7.85 -57.05 1.01 0.99
-6.52 -57.26 1.01 0.95
-5.85 -57.72 1.01 1.01
-4.68 -57.85 1.0 0.98
-3.39 -57.46 1.02 1.0
-1.92 -56.9 0.97 1.01
-1.09 -55.55 1.0 0.93
0.64 -54.11 1.01 1.01
2.21 -52.21 1.0 0.99
3.33 -50.03 0.97 0.98
4.07 -48.15 0.98 1.01
6.56 -44.46 0.97 1.02
7.73 -40.42 1.01 1.02
10.02 -37.8 0.97 1.0
11.46 -33.43 1.01 1.02
12.78 -29.79 1.0 0.93
13.95 -24.22 1.03 0.98
15.62 -19.83 1.03 1.01
15.53 -15.46 1.05 0.97
17.54 -11.03 1.03 1.0
18.08 -6.62 1.05 0.98
19.21 -1.84 1.06 0.97
20.2 1.45 1.1 0.98
20.72 5.24 1.07 1.02
20.68 8.41 1.12 1.01
21.2 11.19 1.1 0.98
21.24 13.73 1.12 0.99
20.39 15.0 1.15 0.97
21.0 17.65 1.17 0.98
20.27 18.13 1.18 1.03
20.3 18.89 1.19 0.97
19.59 19.66 1.2 0.99
18.12 19.7 1.23 1.93
17.47 17.93 1.22 1.88
17.5 16.66 1.23 1.88
15.96 15.95 1.26 1.87
15.11 14.01 1.27 1.89
13.66 12.22 1.29 1.92
12.9 10.65 1.3 1.01
12.41 8.5 1.34 1.02
12.35 5.57 1.33 0.95
10.44 3.06 1.32 1.01
10.25 1.21 1.35 1.04
8.24 -1.1 1.35 1.06
8.78 -2.52 1.34 1.04
8.34 -4.47 1.36 1.01
6.81 -5.51 1.39 1.05
7.65 -8.04 1.37 1.06
6.57 -8.79 1.4 1.01
6.12 -8.99 1.4 1.03
4.65 -10.11 1.43 1.02
5.21 -9.72 1.4 1.02
5.31 -9.56 1.43 1.06
4.83 -10.07 1.44 1.05
5.08 -9.77 1.42 0.97
3.78 -8.22 1.39 0.95
2.77 -7.72 1.38 1.04
3.16 -6.91 1.41 1.03
2.9 -7.34 1.39 0.99
2.72 -5.32 1.38 0.96
1.35 -3.8 1.38 1.03
1.08 -4.69 1.38 0.92
0.11 -3.39 1.35 1.0
-0.36 -2.79 1.35 1.07
-1.83 -3.23 1.33 0.97
-2.32 -3.67 1.31 1.02
-2.81 -3.62 1.28 0.95
-4.23 -5.43 1.31 1.02
-5.73 -6.22 1.25 1.04
-5.54 -8.29 1.27 1.02
-6.62 -10.7 1.26 1.02
-8.07 -12.55 1.31 1.01
-9.53 -15.98 1.23 1.02
-9.42 -18.55 1.25 1.02
-10.02 -22.43 1.19 1.04
-10.8 -26.09 1.16 0.93
-12.08 -30.18 1.16 1.0
-12.35 -33.75 1.18 0.96
-13.13 -38.31 1.11 1.04
-12.99 -42.05 1.11 0.99
-13.87 -45.64 1.08 1.02
-12.69 -50.37 1.1 1.02
-10.74 -53.9 1.09 0.96
-11.98 -56.81 1.1 1.04
-11.45 -59.46 1.06 0.97
-10.01 -62.99 1.01 0.95
-9.08 -63.97 1.02 1.06
-9.08 -65.24 1.06 0.98
-7.4 -65.76 1.03 0.98
-5.94 -66.79 1.03 0.98
-3.65 -66.05 1.02 0.98
-3.2 -65.86 0.98 1.02
-0.84 -63.84 1.03 0.94
0.8 -62.36 0.99 0.97
3.46 -59.12 1.01 1.03
5.44 -55.47 0.99 1.01
7.16 -51.77 1.03 1.01
8.99 -48.57 1.01 0.98
10.24 -43.45 0.98 1.03
12.91 -38.69 1.01 1.01
14.71 -33.73 0.98 1.03
15.29 -29.27 0.99 0.99
17.14 -23.49 1.04 1.03
17.8 -18.66 1.02 1.0
19.99 -12.98 1.05 0.95
20.7 -8.14 1.07 0.99
21.78 -3.44 1.04 0.98
22.42 1.26 1.04 0.99
22.36 5.26 1.09 0.96
22.76 8.71 1.11 1.02
24.49 10.94 1.12 1.03
23.12 14.14 1.11 0.97
23.36 16.66 1.14 1.03
22.55 18.99 1.14 1.04
22.62 20.78 1.15 0.94
22.91 22.1 1.18 1.02
21.04 21.53 1.2 1.05
20.2 21.24 1.18 2.33
19.87 21.22 1.21 2.35
19.06 20.15 1.25 2.34
18.24 18.97 1.26 2.38
18.21 16.9 1.23 2.38
16.69 15.49 1.27 2.28
14.88 12.42 1.29 1.02
14.08 10.57 1.29 0.96
13.74 8.47 1.32 0.98
12.69 6.12 1.32 0.98
11.46 2.58 1.32 0.95
10.88 1.33 1.35 1.0
9.98 -1.41 1.37 0.97
8.98 -3.84 1.38 1.03
8.7 -5.37 1.4 1.03
7.61 -7.27 1.39 0.96
7.2 -8.78 1.39 1.02
6.99 -9.08 1.39 1.04
7.0 -10.02 1.36 1.04
6.3 -10.73 1.36 1.04
6.19 -10.8 1.41 0.95
5.02 -10.67 1.42 1.0
4.58 -10.26 1.42 0.96
4.88 -10.24 1.38 0.96
3.63 -9.15 1.4 0.99
3.99 -8.36 1.38 1.0
3.53 -7.23 1.43 1.03
3.33 -6.94 1.38 1.01
2.01 -5.29 1.38 1.02
1.15 -4.94 1.41 0.97
0.69 -4.13 1.33 1.0
0.32 -3.4 1.33 0.97
-0.79 -3.1 1.35 1.02
-1.18 -3.22 1.33 1.04
-3.1 -2.97 1.32 1.06
-2.76 -3.54 1.31 0.99
-3.89 -4.66 1.29 1.0
-4.74 -6.21 1.29 1.01
-5.03 -7.41 1.27 0.97
-6.15 -9.73 1.26 1.0
-6.78 -11.43 1.25 0.97
-7.52 -14.04 1.22 0.97
-9.02 -17.75 1.24 0.99
-9.65 -20.78 1.22 0.98
-10.46 -23.68 1.17 1.02
-11.81 -27.79 1.19 1.01
-11.95 -30.63 1.15 1.0
-11.85 -35.06 1.11 1.0
-12.61 -38.95 1.09 0.95
-12.09 -42.93 1.1 1.02
-12.06 -47.39 1.11 0.97
-12.03 -49.59 1.1 1.03
-12.04 -52.17 1.07 0.96
-11.98 -55.58 1.09 0.94
-10.38 -58.93 1.04 1.01
-10.0 -60.4 1.09 0.99
-8.37 -62.03 1.06 1.04
-8.2 -63.65 1.03 0.97
-6.45 -62.95 1.0 1.02
-5.24 -63.27 1.04 1.01
-2.92 -63.26 1.01 1.01
-2.09 -61.64 1.04 1.02
0.51 -60.72 1.0 0.99
0.78 -58.55 1.02 1.05
4.3 -55.74 0.97 1.04
4.86 -53.16 1.02 1.02
6.63 -50.67 1.03 0.99
8.11 -46.62 0.97 1.05
9.54 -42.78 1.0 0.99
11.43 -39.74 0.98 1.05
12.43 -35.98 1.04 0.94
13.77 -31.76 1.01 0.98
15.12 -26.75 1.04 0.95
16.79 -24.09 1.07 0.95
17.09 -18.55 1.0 1.01
18.56 -14.2 1.02 0.98
19.61 -11.14 1.05 1.05
19.73 -7.17 1.08 1.03
20.9 -3.39 1.03 1.0
21.58 0.16 1.1 1.0
21.85 4.55 1.09 0.99
22.28 7.03 1.09 1.0
22.14 9.62 1.16 0.99
22.62 12.61 1.1 1.01
22.59 15.21 1.13 1.01
20.96 16.58 1.14 1.0
21.32 17.93 1.15 1.0
20.94 19.04 1.15 1.01
21.3 19.28 1.17 1.02
20.76 20.15 1.19 0.98
19.88 20.14 1.15 1.03
19.81 19.77 1.19 2.1
19.69 19.9 1.2 2.16
17.46 19.23 1.2 2.14
16.75 18.12 1.25 2.18
17.1 16.06 1.27 2.14
15.68 14.94 1.25 2.2
14.79 13.15 1.28 2.14
14.34 11.45 1.3 1.0
13.24 9.2 1.33 0.96
12.62 7.61 1.34 1.02
12.14 6.26 1.3 1.06
11.71 3.35 1.32 1.02
10.27 2.3 1.35 0.99
10.28 0.61 1.34 0.94
9.4 -1.59 1.37 1.0
8.77 -3.56 1.37 1.02
8.5 -4.59 1.35 1.0
7.71 -6.31 1.35 1.03
6.79 -7.67 1.38 1.01
6.27 -8.65 1.41 1.03
6.54 -8.56 1.4 0.97
6.18 -9.22 1.4 1.03
5.95 -10.94 1.38 0.98
5.87 -10.65 1.41 0.97
4.88 -10.45 1.43 0.98
5.11 -10.49 1.43 1.01
4.97 -9.74 1.36 0.99
4.31 -9.19 1.42 0.96
4.03 -7.76 1.39 1.01
3.04 -7.47 1.37 1.04
3.5 -6.61 1.37 1.0
3.22 -6.69 1.36 0.99
2.88 -5.45 1.34 1.01
1.5 -4.95 1.38 0.98
1.66 -5.16 1.38 1.03
0.84 -3.87 1.36 0.98
-0.13 -3.47 1.36 0.96
-0.01 -3.57 1.33 0.97
0.08 -3.06 1.35 1.02
-1.47 -3.3 1.33 0.99
-1.8 -3.17 1.34 0.97
-3.16 -3.67 1.3 0.99
-3.21 -5.09 1.3 1.0
-4.92 -4.97 1.28 1.05
-4.44 -7.44 1.26 1.01
-5.68 -8.5 1.28 0.99
-7.11 -9.85 1.26 0.98
-7.11 -12.25 1.26 1.06
-7.93 -13.78 1.19 1.02
-8.7 -17.08 1.21 1.02
-8.85 -19.62 1.22 0.97
-9.91 -22.34 1.18 1.0
-9.99 -25.38 1.16 1.01
-11.2 -28.17 1.16 1.03
-12.22 -30.96 1.16 0.98
-11.4 -34.98 1.11 0.93
-12.79 -37.91 1.12 1.02
-12.66 -40.75 1.13 0.98
-12.0 -43.63 1.07 0.97
-11.67 -46.9 1.06 0.97
-12.29 -49.14 1.06 1.01
-11.53 -52.23 1.07 1.0
-11.31 -54.73 1.11 1.01
-10.55 -56.47 1.06 1.02
-10.71 -59.11 1.04 1.06
-8.79 -60.01 1.07 1.02
-8.32 -61.2 1.03 1.07
-7.49 -62.34 1.0 0.93
-5.87 -62.53 1.05 1.01
-5.56 -61.98 1.02 1.01
-3.33 -62.21 1.03 1.04
-2.39 -62.0 1.0 1.03
-1.01 -60.48 1.01 0.96
0.25 -58.61 1.01 0.96
1.36 -57.43 1.0 0.99
3.29 -54.71 0.99 1.02
4.42 -51.78 1.02 0.95
6.7 -48.6 1.04 1.01
8.11 -44.42 1.01 1.04
10.16 -41.35 0.98 1.04
11.36 -36.83 1.06 0.98
13.64 -31.38 0.99 0.94
14.6 -27.23 1.03 1.05
16.59 -22.14 1.03 1.03
16.91 -17.37 1.01 0.96
17.4 -13.25 1.03 0.99
19.95 -8.45 1.05 0.97
19.65 -3.82 1.01 0.96
20.12 0.65 1.08 0.98
20.96 3.83 1.11 1.0
21.57 8.08 1.13 1.04
20.8 10.59 1.11 0.97
21.65 13.94 1.13 1.04
21.79 15.36 1.14 1.0
21.99 17.25 1.14 1.05
21.64 18.9 1.17 1.03
20.86 19.52 1.18 1.03
20.78 20.25 1.17 0.96
19.63 20.97 1.2 1.02
18.13 19.61 1.24 2.17
18.27 18.9 1.19 2.1
17.8 17.48 1.26 2.13
16.17 16.27 1.26 2.11
14.85 14.8 1.25 2.16
14.0 13.22 1.29 2.12
13.72 10.17 1.3 1.03
12.62 8.03 1.28 0.96
11.97 6.0 1.31 0.99
10.85 4.1 1.31 1.06
10.56 2.06 1.37 0.96
9.76 -0.53 1.36 0.99
8.88 -2.38 1.37 1.06
7.96 -3.22 1.37 1.04
7.87 -6.41 1.35 0.99
7.76 -7.32 1.37 0.99
6.89 -8.63 1.39 0.97
6.0 -9.36 1.39 1.03
5.77 -10.23 1.37 1.0
5.37 -9.87 1.39 0.99
5.32 -9.97 1.41 0.99
5.19 -10.08 1.4 1.08
4.62 -9.71 1.4 1.01
3.97 -8.55 1.41 1.01
3.92 -8.77 1.42 1.01
2.68 -7.74 1.39 1.07
3.23 -6.63 1.4 1.03
2.7 -5.94 1.43 0.96
2.7 -5.22 1.37 0.98
1.87 -4.75 1.35 1.0
1.21 -3.18 1.39 1.01
0.38 -4.03 1.33 1.02
-0.57 -2.95 1.37 1.01
-1.39 -3.39 1.31 0.98
-2.23 -3.19 1.36 1.01
-2.93 -4.32 1.33 0.97
-4.25 -5.47 1.3 1.01
-4.51 -6.45 1.26 1.02
-5.77 -7.58 1.26 0.94
-6.65 -9.54 1.25 1.0
-7.94 -12.61 1.23 1.04
-9.18 -15.05 1.23 1.06
-9.1 -18.12 1.22 1.01
-10.57 -21.2 1.19 0.97
-10.02 -24.16 1.19 1.0
-10.72 -27.55 1.18 1.0
-11.87 -31.37 1.15 1.03
-11.61 -35.12 1.15 1.01
-11.77 -39.53 1.13 0.95
-11.74 -42.68 1.1 0.98
-11.97 -45.27 1.11 1.0
-11.47 -49.21 1.08 1.03
-11.3 -52.34 1.06 0.99
-11.42 -55.57 1.06 1.02
-10.18 -57.31 1.1 0.95
-10.18 -59.47 1.05 0.98
-8.89 -61.32 1.04 0.96
-8.02 -62.18 1.06 1.01
-6.52 -62.96 1.01 0.99
-4.68 -62.84 1.01 1.01
-3.7 -62.96 1.01 1.05
-1.89 -61.17 1.02 1.01
-0.2 -60.03 0.98 1.05
2.16 -58.48 1.0 0.97
3.52 -55.13 0.98 0.98
5.29 -52.07 0.99 1.0
6.54 -49.34 0.99 1.01
7.87 -46.64 1.02 1.02
9.25 -42.73 0.97 1.0
10.43 -39.4 1.0 0.96
12.23 -35.75 1.0 1.04
13.59 -31.17 1.03 1.01
13.94 -27.36 1.04 1.05
16.2 -24.76 1.02 1.01
16.98 -19.78 1.05 1.09
17.64 -15.19 1.02 0.95
19.11 -11.16 1.06 1.02
18.93 -7.73 1.04 0.93
20.39 -3.98 1.03 1.02
20.81 -0.63 1.05 0.98
21.44 2.71 1.1 1.0
22.22 6.09 1.11 1.0
21.7 9.28 1.14 1.02
21.83 10.57 1.1 0.98
22.24 14.42 1.11 0.96
21.92 15.48 1.13 1.03
22.03 17.06 1.17 0.99
21.53 19.02 1.17 1.01
20.65 19.75 1.14 0.99
21.04 20.39 1.16 0.99
20.4 20.15 1.2 1.02
20.09 20.46 1.21 1.0
19.02 20.68 1.2 1.81
18.72 19.35 1.21 1.84
18.31 19.06 1.23 1.76
17.1 16.82 1.27 1.76
17.04 16.15 1.25 1.82
15.31 14.46 1.29 1.8
14.67 13.06 1.3 1.83
14.91 10.74 1.3 1.04
12.58 9.59 1.27 1.02
12.54 7.25 1.31 1.0
12.62 5.47 1.32 1.04
10.77 3.25 1.31 1.0
10.26 1.43 1.35 0.96
9.5 0.87 1.37 0.99
9.5 -1.81 1.36 1.01
8.17 -2.9 1.35 1.01
7.77 -4.4 1.4 1.0
7.61 -6.42 1.35 0.99
7.1 -7.36 1.38 1.05
7.45 -8.66 1.4 1.01
6.21 -8.86 1.39 0.97
6.35 -9.34 1.4 0.98
5.8 -10.29 1.4 0.96
5.6 -10.31 1.42 1.0
4.67 -10.17 1.42 1.04
5.69 -10.04 1.37 1.02
4.94 -9.74 1.39 1.03
3.85 -9.22 1.37 0.99
4.77 -8.44 1.4 1.02
3.5 -7.6 1.43 0.99
3.09 -7.29 1.4 0.98
3.64 -6.09 1.37 0.98
3.01 -6.45 1.38 0.99
2.29 -5.18 1.37 1.0
1.57 -4.51 1.38 0.99
1.67 -4.55 1.4 0.95
0.94 -3.3 1.38 0.97
-0.04 -3.57 1.36 1.05
-0.93 -3.07 1.37 1.03
-1.69 -3.21 1.32 1.04
-2.43 -3.14 1.33 0.99
-2.68 -3.66 1.35 1.02
-2.57 -4.64 1.26 0.95
-4.34 -5.59 1.33 1.03
-5.27 -6.54 1.28 1.01
-5.33 -7.47 1.27 0.95
-6.01 -9.7 1.22 0.91
-6.82 -11.58 1.26 1.0
-7.78 -13.27 1.22 1.0
-9.36 -15.95 1.24 0.96
-8.62 -18.2 1.19 0.99
-9.92 -20.46 1.19 0.93
-10.88 -23.52 1.22 1.05
-10.95 -27.27 1.14 0.97
-11.73 -30.58 1.17 0.98
-11.66 -33.39 1.17 1.0
-12.57 -36.99 1.14 0.96
-12.35 -40.79 1.13 0.97
-12.77 -42.73 1.11 1.0
-11.75 -46.6 1.11 1.04
-11.46 -48.55 1.09 1.04
-12.1 -50.77 1.11 1.0
-12.61 -53.76 1.06 0.9
-11.11 -56.12 1.06 1.0
-11.2 -58.3 1.06 0.98
-9.56 -60.55 1.05 0.94
-8.84 -61.61 1.05 1.04
-8.48 -63.87 1.02 1.08
-7.26 -63.59 1.02 1.03
-6.31 -64.01 0.98 1.07
-4.57 -63.89 1.03 1.05
-4.05 -63.75 0.99 1.01
-2.16 -62.83 0.98 1.06
-0.76 -62.16 1.05 0.98
0.71 -60.88 0.99 1.01
1.92 -58.77 1.0 0.99
3.62 -56.46 0.99 1.04
