THIGH_ANG SHIN_ANG THIGH_ACCEL VERT_ACCEL
-10.13 -24.3 1.1 1.0
-9.83 -26.0 1.16 1.02
-9.51 -28.06 1.06 0.98
-9.62 -29.57 1.1 1.05
-9.28 -32.07 1.11 0.94
-8.94 -33.39 1.05 0.99
-8.45 -34.87 1.06 1.06
-8.05 -35.8 1.05 1.01
-8.08 -37.69 1.03 1.02
-8.17 -38.15 1.01 0.95
-6.77 -38.79 1.04 0.98
-5.6 -39.28 1.04 1.01
-5.13 -40.28 1.01 1.01
-3.94 -39.43 0.99 1.04
-3.06 -38.82 1.03 1.06
-1.63 -38.41 0.99 1.0
-0.65 -38.18 1.0 1.0
0.32 -36.99 1.01 0.98
1.31 -36.4 0.97 0.98
2.59 -34.59 1.04 1.04
4.18 -33.46 1.02 0.97
5.03 -30.71 0.98 0.96
5.72 -29.26 0.99 1.01
7.84 -25.1 0.99 1.05
9.14 -23.7 1.02 1.01
10.26 -20.48 1.01 0.98
11.57 -17.66 1.0 1.04
12.44 -15.45 1.02 1.01
13.51 -12.61 1.03 1.01
13.96 -8.98 1.02 0.99
14.91 -6.66 1.04 1.0
15.65 -3.71 1.05 1.04
16.03 -1.42 1.08 1.0
16.8 0.77 1.07 0.95
16.9 3.41 1.11 0.93
16.67 5.59 1.08 1.02
17.28 7.04 1.11 1.04
17.28 8.96 1.1 1.04
16.85 10.24 1.1 0.98
17.41 11.48 1.11 1.04
16.25 12.11 1.14 1.01
16.66 12.32 1.14 1.0
16.56 12.64 1.16 1.0
15.43 12.62 1.2 1.0
14.62 11.78 1.2 1.9
14.46 12.38 1.21 1.88
13.99 11.04 1.22 1.86
12.98 10.68 1.23 1.89
12.35 9.17 1.26 1.89
11.39 8.66 1.26 1.89
11.27 7.38 1.28 0.97
10.82 5.22 1.23 1.05
9.81 3.94 1.29 0.99
8.98 3.13 1.28 0.98
8.96 1.87 1.33 0.95
8.14 0.22 1.33 0.97
7.49 -1.09 1.36 1.01
6.85 -2.0 1.32 1.05
6.72 -3.06 1.35 0.99
5.38 -4.17 1.34 0.99
6.01 -3.88 1.36 1.03
5.4 -5.98 1.38 0.96
4.71 -5.58 1.37 0.99
4.53 -6.23 1.37 1.03
4.06 -6.45 1.37 0.99
4.33 -5.69 1.33 0.98
3.81 -6.23 1.37 1.03
3.6 -5.93 1.34 0.98
3.47 -5.54 1.38 1.0
3.7 -5.16 1.34 1.04
2.94 -5.18 1.34 0.95
2.92 -4.36 1.35 0.98
2.44 -4.11 1.38 1.07
1.54 -2.99 1.38 1.03
1.48 -2.58 1.33 0.95
0.49 -2.71 1.34 0.97
0.38 -2.28 1.32 1.0
-0.63 -1.73 1.31 0.97
-0.53 -1.43 1.32 1.01
-0.91 -2.18 1.29 1.03
-2.25 -2.23 1.27 1.01
-2.63 -2.78 1.29 0.99
-3.4 -3.33 1.27 1.02
-3.66 -4.48 1.25 0.96
-5.07 -4.81 1.26 1.01
-5.28 -6.71 1.2 1.03
-6.37 -7.94 1.23 0.97
-6.69 -10.21 1.17 0.97
-6.69 -11.27 1.2 1.01
-8.11 -13.24 1.14 1.01
-7.92 -15.11 1.17 1.01
-9.28 -17.24 1.16 1.0
-8.76 -19.3 1.12 1.03
-9.01 -21.71 1.12 1.02
-9.39 -24.27 1.09 1.01
-10.18 -25.99 1.14 0.99
-9.54 -28.31 1.13 0.99
-9.09 -30.2 1.09 1.02
-9.2 -32.14 1.1 1.01
-9.05 -34.06 1.08 0.99
-8.29 -35.61 1.07 0.98
-7.59 -37.27 1.02 0.96
-7.07 -37.72 0.99 1.0
-6.85 -39.04 1.03 0.99
-5.29 -39.23 1.04 1.0
-4.98 -39.76 1.02 0.95
-3.5 -39.64 1.0 1.02
-2.35 -39.05 1.04 0.96
-0.82 -37.89 0.99 1.01
0.53 -37.61 1.01 1.03
1.46 -36.26 0.97 1.02
2.45 -34.53 1.01 0.97
3.92 -33.04 1.01 0.97
5.26 -31.13 0.99 1.09
6.36 -28.8 1.0 0.98
7.58 -26.73 1.0 1.01
8.91 -24.1 0.98 1.0
10.81 -20.73 1.04 1.01
11.65 -18.22 0.99 0.96
12.9 -15.05 1.05 0.98
13.87 -12.35 1.01 1.0
13.99 -9.9 1.01 1.01
15.39 -7.32 1.05 1.03
15.65 -3.49 1.03 1.0
16.25 -1.17 1.06 1.02
16.76 1.5 1.07 1.06
17.2 3.35 1.07 1.03
17.44 5.86 1.06 1.02
17.7 6.99 1.09 1.05
17.31 8.84 1.07 1.04
17.5 10.59 1.08 1.02
17.34 11.69 1.18 1.01
17.29 12.29 1.14 1.05
16.31 13.1 1.18 0.98
16.43 13.67 1.15 1.0
15.57 12.37 1.15 1.03
14.61 13.03 1.21 1.88
14.22 11.97 1.19 1.85
13.94 11.58 1.22 1.85
13.57 11.05 1.2 1.88
12.23 10.28 1.26 1.85
11.74 8.85 1.23 1.8
11.66 6.85 1.26 1.05
10.63 6.02 1.26 1.02
9.21 4.62 1.26 1.03
9.65 2.63 1.27 0.96
8.99 1.91 1.34 1.0
7.8 -0.23 1.32 0.99
8.09 -0.24 1.32 1.01
7.42 -2.28 1.33 0.95
6.31 -3.09 1.35 1.01
5.43 -3.48 1.31 0.99
5.54 -4.77 1.36 1.03
5.48 -5.81 1.36 0.96
5.35 -5.64 1.38 0.96
4.46 -6.02 1.39 1.03
5.09 -6.48 1.36 1.04
4.39 -6.43 1.35 0.99
3.83 -6.53 1.37 0.99
3.93 -6.98 1.38 0.97
4.01 -6.26 1.32 1.0
3.4 -5.14 1.36 1.04
3.12 -4.68 1.34 1.02
2.64 -4.69 1.31 1.02
1.64 -4.15 1.35 1.02
2.08 -3.75 1.35 1.02
1.33 -2.7 1.31 0.99
1.06 -2.11 1.35 1.0
0.18 -2.47 1.36 0.99
-0.13 -2.05 1.35 1.01
-0.93 -2.22 1.31 1.06
-0.94 -2.04 1.29 1.01
-2.24 -3.11 1.29 1.01
-2.97 -2.68 1.27 0.98
-3.61 -3.36 1.26 1.01
-3.77 -4.47 1.2 0.95
-4.7 -5.12 1.23 1.02
-5.23 -6.26 1.23 1.04
-6.06 -7.88 1.26 0.95
-6.97 -9.9 1.19 1.0
-7.2 -11.54 1.21 1.01
-7.99 -12.59 1.18 0.99
-8.75 -15.63 1.18 0.96
-9.4 -17.13 1.15 0.98
-9.53 -20.6 1.15 0.96
-10.24 -22.5 1.12 0.97
-9.86 -24.49 1.13 1.07
-9.68 -26.66 1.08 1.03
-9.7 -28.98 1.09 0.99
-10.01 -31.2 1.11 1.02
-9.89 -33.76 1.07 1.05
-9.46 -35.26 1.05 1.0
-8.24 -36.82 1.05 1.0
-8.54 -37.98 1.05 1.02
-7.28 -39.5 1.05 1.04
-7.02 -39.77 1.03 1.0
-5.91 -40.07 1.02 0.98
-4.55 -41.12 1.04 1.02
-4.09 -40.27 1.01 1.0
-2.54 -40.42 0.96 1.05
-1.7 -39.7 1.01 0.99
0.6 -38.84 1.01 1.03
1.41 -38.08 0.97 0.98
2.76 -35.27 1.0 1.05
4.59 -34.32 0.97 0.99
5.28 -31.92 1.03 1.07
6.46 -30.13 1.0 0.97
7.9 -27.37 1.02 1.02
9.13 -24.28 1.0 1.02
9.85 -22.03 1.02 1.02
11.44 -19.23 1.0 1.04
12.34 -16.0 1.01 1.04
12.77 -13.02 1.03 0.96
14.67 -11.04 1.0 0.98
15.02 -7.81 1.05 0.99
15.73 -4.8 1.08 0.96
16.93 -3.0 1.01 1.01
17.2 -0.04 1.05 0.99
17.82 1.62 1.03 1.01
17.43 4.44 1.08 0.97
17.87 6.22 1.09 1.06
18.15 7.58 1.12 0.99
18.02 9.42 1.09 1.03
18.39 11.14 1.11 0.97
17.52 11.7 1.16 1.02
17.8 12.03 1.15 0.99
16.96 12.63 1.13 1.01
16.24 12.93 1.18 1.0
16.11 12.95 1.19 0.98
16.27 13.63 1.18 1.94
15.08 13.29 1.17 1.95
14.17 11.99 1.23 1.97
13.42 10.96 1.28 1.93
12.76 10.19 1.24 1.93
12.62 8.93 1.26 1.99
11.5 8.24 1.27 0.97
10.91 6.66 1.32 0.98
10.13 4.28 1.27 0.99
9.67 2.98 1.25 0.96
8.79 2.41 1.3 0.99
8.5 1.35 1.3 0.97
7.85 -0.59 1.34 1.01
7.38 -1.32 1.32 1.05
6.69 -2.25 1.33 1.01
6.38 -3.73 1.37 1.04
6.51 -4.38 1.36 1.04
5.45 -4.88 1.36 1.01
5.67 -5.94 1.36 0.95
5.26 -6.16 1.32 0.97
5.02 -6.74 1.36 0.96
4.28 -6.14 1.35 0.98
4.28 -6.56 1.35 1.0
3.95 -6.52 1.38 1.0
3.63 -6.14 1.34 0.99
3.57 -6.17 1.35 1.06
3.18 -5.62 1.38 0.99
2.8 -5.09 1.37 0.99
2.66 -4.42 1.38 1.02
2.11 -3.3 1.34 0.94
1.8 -3.87 1.31 1.01
1.37 -3.49 1.33 0.98
0.94 -2.41 1.33 1.01
0.5 -2.18 1.31 1.0
-0.13 -2.14 1.3 1.08
-0.98 -1.94 1.28 1.04
-0.82 -1.24 1.3 0.99
-1.71 -2.08 1.28 0.98
-2.04 -2.85 1.31 0.94
-3.76 -2.99 1.28 1.02
-3.48 -4.12 1.24 0.98
-5.0 -4.86 1.25 1.03
-4.6 -5.47 1.25 1.01
-5.08 -7.02 1.24 0.98
-6.79 -9.07 1.22 1.02
-6.84 -9.69 1.2 1.02
-7.31 -11.66 1.2 1.04
-8.23 -12.88 1.17 0.95
-8.23 -15.63 1.17 1.03
-9.52 -17.84 1.16 1.0
-9.57 -19.27 1.13 1.01
-9.53 -22.18 1.12 1.0
-10.34 -24.77 1.11 1.03
-10.1 -26.44 1.12 1.0
-9.83 -29.0 1.08 1.02
-9.61 -30.53 1.1 1.0
-9.75 -32.08 1.1 0.99
-9.45 -34.38 1.08 1.07
-8.53 -35.64 1.06 1.06
-8.25 -37.52 1.07 1.0
-7.65 -38.49 1.02 1.04
-7.31 -39.98 1.02 0.99
-6.31 -40.24 0.99 0.96
-5.53 -40.83 1.05 0.97
-4.81 -41.0 1.03 1.02
-3.18 -41.08 1.03 1.03
-1.7 -40.96 0.99 1.05
-1.47 -39.34 1.05 1.0
0.19 -38.22 0.99 1.0
1.3 -37.87 1.02 1.01
2.91 -35.95 1.01 1.01
4.17 -34.14 0.97 1.0
5.09 -32.08 0.98 1.0
6.81 -29.52 1.0 0.99
8.61 -26.82 1.02 0.95
9.0 -24.07 0.97 1.0
10.3 -21.78 1.0 0.97
11.84 -18.42 1.02 1.01
12.91 -15.56 1.05 0.98
14.59 -11.73 1.07 0.96
15.1 -9.31 1.03 1.02
15.87 -6.3 1.05 0.97
17.04 -3.42 1.07 0.98
16.82 0.14 1.06 1.02
17.95 1.59 1.07 1.0
18.22 4.61 1.09 0.96
17.44 6.41 1.07 0.97
17.76 7.47 1.13 0.98
17.22 10.12 1.12 1.05
18.09 10.58 1.16 0.95
17.64 11.41 1.16 1.04
17.01 12.73 1.13 0.95
16.95 13.82 1.14 1.07
16.53 14.22 1.17 1.04
16.1 12.88 1.21 2.02
14.31 13.38 1.21 2.01
14.44 12.74 1.19 2.04
13.88 11.09 1.24 1.98
12.95 11.04 1.23 1.98
12.57 9.43 1.29 1.99
11.92 8.1 1.27 1.05
11.29 6.28 1.29 1.09
10.54 5.02 1.3 1.03
9.93 3.08 1.29 1.04
9.22 1.63 1.31 0.97
8.15 1.21 1.31 0.96
8.64 -0.63 1.36 0.93
7.79 -2.14 1.34 1.01
6.59 -3.31 1.35 0.97
6.66 -4.32 1.37 0.96
6.25 -5.14 1.33 0.95
5.97 -5.49 1.36 1.01
5.62 -5.57 1.39 1.02
4.49 -6.8 1.39 1.04
4.86 -6.95 1.38 1.04
4.32 -6.39 1.35 1.02
3.86 -6.16 1.37 1.02
3.03 -6.41 1.37 1.02
3.82 -6.19 1.36 1.01
3.44 -5.64 1.36 0.95
3.03 -5.01 1.35 1.02
2.52 -4.54 1.35 1.02
2.72 -4.71 1.35 1.03
1.39 -2.59 1.32 0.97
1.47 -3.79 1.32 0.96
0.57 -2.33 1.31 0.97
0.38 -2.64 1.31 0.94
-0.13 -1.66 1.32 0.96
-1.08 -1.8 1.3 0.99
-2.23 -2.8 1.26 1.0
-1.94 -2.49 1.25 0.99
-3.44 -3.21 1.25 1.02
-4.34 -4.46 1.24 0.95
-4.04 -5.13 1.22 1.03
-4.78 -6.65 1.2 0.97
-6.29 -7.7 1.24 0.99
-6.53 -9.34 1.2 1.03
-8.13 -11.26 1.19 0.98
-8.11 -13.82 1.19 0.99
-9.3 -15.24 1.15 1.02
-9.06 -17.53 1.15 1.05
-9.37 -20.82 1.18 0.97
-10.22 -22.37 1.15 1.01
-10.5 -24.24 1.12 1.05
-9.78 -27.37 1.07 1.03
-10.49 -29.95 1.08 1.01
-11.07 -31.49 1.05 1.01
-10.06 -35.15 1.11 1.02
-10.68 -35.87 1.07 0.97
-9.91 -37.72 1.07 0.95
-8.69 -39.6 1.02 0.99
-7.95 -40.58 1.05 0.99
-6.72 -41.7 1.05 1.0
-6.01 -42.77 1.01 1.01
-5.24 -43.26 1.03 0.95
-4.62 -42.74 0.98 0.97
-2.77 -42.83 1.03 1.0
-1.28 -41.74 1.02 1.01
0.35 -40.99 1.03 1.01
1.27 -39.31 0.98 1.0
2.47 -37.59 1.04 0.97
4.14 -35.93 1.01 1.03
5.53 -33.92 1.03 0.97
6.59 -31.38 0.96 0.98
7.63 -29.34 1.03 1.04
9.63 -26.29 1.03 1.03
10.89 -24.2 1.01 1.0
11.11 -20.92 1.01 0.99
12.62 -18.38 1.0 1.02
13.76 -15.37 1.0 1.01
14.4 -13.03 1.03 1.01
15.18 -9.4 1.02 1.04
15.94 -7.28 1.04 1.0
16.75 -4.29 1.03 1.04
18.5 -1.7 1.05 1.01
18.5 0.46 1.05 0.96
18.04 3.12 1.07 1.05
18.62 4.94 1.09 1.03
18.49 6.11 1.11 0.95
19.27 8.93 1.12 0.97
18.55 10.03 1.1 0.95
19.33 11.23 1.07 1.05
19.01 12.0 1.16 0.97
18.04 13.41 1.15 0.96
17.74 13.89 1.18 0.97
16.79 14.44 1.15 1.01
16.99 14.64 1.21 1.02
16.8 13.27 1.18 1.89
15.35 13.48 1.21 1.92
14.75 12.7 1.18 1.9
14.61 11.89 1.21 1.92
13.47 10.98 1.24 1.87
13.62 9.78 1.24 1.84
11.79 8.3 1.24 1.82
11.68 7.02 1.3 1.08
10.95 5.69 1.27 1.0
11.02 5.42 1.28 0.98
9.67 3.41 1.29 1.02
9.28 2.31 1.29 0.97
9.27 1.07 1.32 1.04
8.05 -0.81 1.32 0.97
8.51 -1.66 1.33 1.0
6.98 -2.28 1.32 0.99
6.83 -3.23 1.35 0.99
6.4 -4.73 1.35 1.03
5.71 -5.04 1.33 0.98
5.21 -5.6 1.34 1.03
5.42 -6.14 1.34 1.01
5.04 -6.86 1.39 1.01
5.14 -5.98 1.37 1.02
4.7 -7.05 1.36 0.94
3.63 -6.33 1.36 0.98
4.18 -6.74 1.39 0.96
4.42 -7.15 1.36 1.02
4.01 -6.17 1.37 1.01
3.35 -5.57 1.33 1.01
3.27 -4.84 1.35 0.94
2.68 -5.33 1.37 1.03
2.29 -4.73 1.32 1.01
1.79 -3.53 1.36 0.96
0.64 -3.59 1.36 0.98
0.74 -2.8 1.37 0.97
0.29 -2.67 1.35 0.95
-0.5 -1.91 1.32 1.01
-0.75 -2.04 1.32 0.96
-0.75 -1.53 1.27 1.01
-1.19 -2.23 1.29 0.99
-2.26 -2.97 1.29 0.97
-3.11 -2.49 1.3 0.99
-3.27 -4.1 1.25 1.02
-4.35 -3.82 1.27 0.98
-4.77 -5.31 1.25 0.95
-5.25 -6.35 1.22 1.01
-5.81 -8.05 1.26 1.02
-7.28 -9.5 1.21 0.97
-7.72 -10.98 1.2 1.02
-7.81 -12.95 1.17 1.0
-8.9 -15.03 1.23 1.01
-8.87 -16.87 1.16 0.98
-9.72 -19.13 1.16 1.04
-10.03 -21.17 1.13 1.04
-10.15 -23.37 1.12 1.05
-10.22 -25.21 1.14 1.01
-10.24 -27.56 1.11 0.98
-9.74 -29.34 1.14 1.04
-10.06 -31.84 1.07 1.0
-10.63 -33.17 1.13 1.01
-9.8 -35.35 1.06 0.96
-9.66 -37.66 1.09 1.02
-8.82 -38.22 1.06 0.99
-7.88 -40.3 1.06 1.06
-7.26 -41.51 1.05 0.99
-7.19 -41.89 0.98 1.02
-6.66 -41.93 1.07 1.03
-5.52 -42.25 1.06 0.97
-3.78 -42.82 1.03 0.98
-2.97 -42.75 0.98 0.99
-2.41 -41.88 1.03 1.06
-0.36 -41.49 1.01 0.98
0.21 -40.18 0.97 1.0
1.19 -38.9 1.02 0.98
2.7 -37.68 1.0 0.95
4.52 -35.77 1.02 1.01
4.53 -33.5 1.02 0.92
7.08 -31.07 0.99 1.04
8.11 -28.98 0.99 1.01
10.37 -25.94 1.04 1.08
9.95 -23.04 1.05 1.02
12.86 -19.19 1.03 1.0
13.28 -16.88 1.01 0.99
14.13 -13.82 1.05 1.02
15.0 -10.82 1.02 1.04
16.01 -7.49 1.02 0.99
17.4 -4.56 1.06 1.0
16.85 -1.85 1.04 1.01
17.69 0.26 1.07 0.98
18.67 3.3 1.06 1.01
18.71 5.01 1.08 1.04
19.14 7.13 1.04 0.98
19.15 9.16 1.12 0.96
19.06 10.58 1.13 1.0
18.03 11.42 1.13 1.05
18.51 12.36 1.14 0.97
17.78 13.29 1.14 1.0
17.5 13.49 1.17 1.01
16.93 13.85 1.2 1.01
16.23 14.21 1.21 1.95
17.02 13.33 1.14 1.96
15.54 13.04 1.2 1.93
15.24 12.53 1.21 2.0
14.32 11.35 1.24 1.9
12.63 9.86 1.27 1.94
12.63 8.85 1.25 1.9
11.55 7.26 1.26 1.05
10.68 5.87 1.25 1.0
10.13 4.2 1.27 0.97
9.98 3.6 1.32 1.0
9.39 1.29 1.33 0.98
9.09 0.29 1.33 1.03
8.25 -1.16 1.32 1.0
7.49 -2.86 1.28 0.93
6.6 -2.9 1.34 1.01
6.03 -4.69 1.33 1.0
6.17 -4.58 1.32 0.97
5.7 -5.94 1.35 1.02
5.43 -6.47 1.37 1.02
5.11 -6.4 1.4 1.0
4.76 -6.56 1.38 0.99
4.8 -7.34 1.35 1.03
4.94 -6.1 1.36 1.0
4.13 -6.78 1.35 1.01
3.34 -6.68 1.33 1.01
3.34 -6.2 1.36 0.96
3.23 -4.8 1.32 1.04
2.74 -4.39 1.38 0.97
2.58 -4.61 1.36 0.97
2.39 -3.62 1.38 1.01
1.61 -3.85 1.32 0.97
1.05 -2.73 1.33 1.05
0.59 -2.57 1.35 1.0
0.11 -1.92 1.31 1.05
-1.21 -2.01 1.28 1.04
-1.96 -1.63 1.31 1.01
-1.82 -2.38 1.31 1.0
-3.06 -2.99 1.25 1.0
-3.47 -2.97 1.27 1.02
-4.36 -3.58 1.22 1.05
-5.25 -5.42 1.25 0.97
-5.08 -6.31 1.25 1.03
-6.52 -7.14 1.23 1.0
-7.18 -10.26 1.23 1.0
-7.49 -11.46 1.2 1.01
-8.0 -13.68 1.18 1.02
-8.94 -15.97 1.17 0.98
-9.11 -16.93 1.19 0.98
-9.5 -20.02 1.16 1.0
-10.46 -23.24 1.12 1.0
-10.92 -25.03 1.13 0.99
-9.94 -27.84 1.09 1.05
-10.69 -29.72 1.09 0.99
-10.52 -32.19 1.11 1.01
-10.1 -34.23 1.08 0.97
-9.88 -36.53 1.06 0.99
-9.63 -37.84 1.06 1.06
-9.16 -40.02 1.05 1.03
-7.94 -41.12 1.05 1.0
-8.21 -42.17 1.06 0.99
-7.16 -43.61 1.02 0.96
-5.91 -44.04 1.01 1.01
-4.73 -44.18 1.03 0.97
-3.04 -43.8 1.01 0.99
-3.31 -43.99 1.0 1.03
-1.55 -43.4 1.03 0.99
-0.17 -41.97 1.02 1.07
1.93 -40.29 1.02 1.04
2.12 -38.92 1.02 1.01
3.93 -36.84 1.0 0.96
5.68 -34.7 1.0 1.0
7.28 -32.09 0.99 0.96
8.99 -29.61 1.0 1.03
9.69 -27.18 1.0 0.97
10.33 -24.28 1.01 1.05
12.06 -21.27 1.03 0.99
13.08 -18.26 1.01 1.04
14.61 -15.03 1.03 1.01
14.51 -11.77 1.02 0.98
16.23 -9.56 1.06 0.97
17.01 -7.48 1.02 0.98
18.0 -3.7 1.05 1.0
18.06 -0.42 1.05 0.97
18.87 0.58 1.09 0.99
18.73 3.31 1.08 1.04
19.23 5.35 1.08 1.02
19.16 7.98 1.07 1.0
19.44 9.43 1.09 1.02
19.43 11.09 1.1 1.01
18.93 11.27 1.1 1.0
19.18 12.96 1.16 1.03
18.39 13.72 1.15 0.99
17.35 13.2 1.13 1.03
17.56 14.61 1.15 1.04
16.96 13.67 1.21 2.23
16.64 13.73 1.16 2.21
15.07 13.55 1.23 2.26
15.04 11.88 1.23 2.25
14.95 12.32 1.21 2.21
13.82 11.18 1.24 2.24
13.12 8.98 1.24 2.22
11.56 8.21 1.28 1.03
11.49 6.16 1.28 1.03
10.58 5.12 1.28 1.0
10.42 4.04 1.31 1.02
10.09 2.43 1.3 0.99
9.53 0.49 1.29 1.01
8.34 -0.6 1.29 1.01
7.76 -1.06 1.31 1.02
8.13 -3.11 1.33 0.98
6.32 -3.36 1.37 0.99
6.79 -4.39 1.35 0.97
5.29 -5.35 1.36 0.98
5.58 -5.71 1.33 1.02
6.14 -6.24 1.37 0.98
5.4 -7.08 1.34 1.0
4.62 -6.43 1.41 1.01
4.51 -7.02 1.34 1.02
4.06 -7.4 1.36 1.0
3.92 -6.88 1.33 1.03
3.41 -6.07 1.35 1.01
3.7 -5.85 1.35 0.98
2.32 -5.63 1.35 1.01
3.33 -5.39 1.37 1.02
2.81 -3.87 1.33 1.04
2.46 -4.27 1.36 1.01
2.05 -3.64 1.38 0.96
1.06 -3.41 1.33 1.05
1.31 -3.0 1.33 0.95
0.82 -2.39 1.27 1.0
0.22 -1.93 1.31 1.03
-1.23 -2.73 1.36 0.99
-0.86 -2.1 1.29 0.98
-1.73 -1.99 1.33 1.06
-2.61 -3.49 1.26 1.0
-2.63 -2.76 1.3 0.99
-2.99 -4.22 1.25 1.01
-4.84 -4.53 1.25 0.96
-5.06 -5.91 1.23 0.98
-5.81 -7.03 1.2 1.0
-5.97 -8.7 1.25 0.91
-7.13 -10.07 1.18 0.97
-7.11 -12.24 1.18 1.03
-8.9 -13.07 1.16 0.97
-8.8 -15.27 1.15 0.97
-9.37 -17.71 1.18 1.06
-8.71 -19.17 1.16 1.0
-9.88 -21.08 1.15 1.01
-10.16 -23.66 1.08 0.99
-10.08 -25.62 1.12 0.93
-10.4 -27.48 1.11 1.07
-10.44 -29.53 1.08 0.99
-9.85 -31.32 1.08 1.05
-9.46 -33.91 1.07 0.95
-9.01 -35.57 1.05 1.01
-8.9 -35.98 1.08 0.97
-8.47 -38.57 1.05 0.96
-7.77 -39.31 1.02 1.01
-6.99 -39.41 1.03 1.04
-6.09 -40.87 1.02 0.99
-4.82 -40.95 1.02 0.99
-4.21 -40.86 1.04 0.99
-3.36 -41.23 1.02 0.96
-2.23 -40.53 1.03 1.02
-1.06 -39.35 1.02 1.0
0.13 -39.03 1.02 1.0
1.94 -36.51 0.99 1.03
3.1 -35.27 0.97 1.02
